Model;Type.lamp;sample;resp;glow;V_lamp1;V_lamp;v_lampnom;resp1;Lt;Lt0;resp2
1;F8T5;2;1.34;0.00450;53.25;53.3;56;1.23;9220;7500;0.813449024
2;CF13;2;0.22;0.0105;58.03;58.0;77;0.20;2038;10000;4.906.771.344
3;CF13;3;0.46;0.0081;59.13;59.1;77;0.42;4213;10000;2.373.605.507
4;F13T5;2;0.86;0.00467;90.02;90.0;94;0.79;5916;7500;1.267.748.479
5;F8T5;3;1.03;0.00449;53.29;53.3;56;0.94;7101;7500;1.056.189.269
6;F13T5;2;1.15;0.012;104.5;105.0;105;1.05;7879;10000;1.269.196.599
7;CF13;2;0.25;0.019;57.50;57.5;77;0.23;2284;10000;4.378.283.713
8;CF13;3;0.41;0.024;61.69;61.7;77;0.38;2745;7500;2.732.240.437
9;F15T8;1;0.18;0.045;41.82;41.8;55;0.17;1238;7500;605.815.832
10;F8T5;3;0.18;0.0186;40.65;40.7;56;0.17;1224;9000;7.352.941.176
11;F20T12;3;1.30;0.0161;57.79;57.8;57;1.19;10737;10000;0.931358853
12;CF7;3;1.01;0.037;37.49;37.5;37;0.93;9218;10000;108.483.402
13;CF7*;2;1.24;0.018;47.20;47.2;45;1.14;11354;10000;0.880746873
14;CF11*;3;0.62;0.013;67.70;67.7;54;0.57;5692;10000;1.756.851.722
